transaction_id,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,periodo,temporada
24,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Mañana,Invierno
25,1,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Mañana,Invierno
26,1,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,Mañana,Invierno
27,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Mañana,Invierno
28,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,Mañana,Invierno
29,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,Mañana,Invierno
30,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Mañana,Invierno
31,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,Mañana,Invierno
32,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,Mañana,Invierno
33,2,5,Lower Manhattan,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,Mañana,Invierno
34,2,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Mañana,Invierno
35,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Mañana,Invierno
36,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,Mañana,Invierno
37,1,5,Lower Manhattan,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Mañana,Invierno
38,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Mañana,Invierno
39,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,Mañana,Invierno
40,2,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,Mañana,Invierno
41,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Mañana,Invierno
42,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Mañana,Invierno
43,1,5,Lower Manhattan,78,4.5,Bakery,Scone,Scottish Cream Scone ,Mañana,Invierno
44,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Mañana,Invierno
45,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,Mañana,Invierno
46,1,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,Mañana,Invierno
47,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Mañana,Invierno
48,1,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg,Mañana,Invierno
49,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Mañana,Invierno
50,1,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,Mañana,Invierno
51,1,8,Hell's Kitchen,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,Mañana,Invierno
52,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,Mañana,Invierno
53,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,Mañana,Invierno
54,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Mañana,Invierno
55,1,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Mañana,Invierno
56,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Mañana,Invierno
57,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,Mañana,Invierno
58,1,5,Lower Manhattan,34,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River Sm,Mañana,Invierno
59,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Mañana,Invierno
60,1,8,Hell's Kitchen,74,3.5,Bakery,Biscotti,Ginger Biscotti,Mañana,Invierno
61,1,8,Hell's Kitchen,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Mañana,Invierno
62,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Mañana,Invierno
63,1,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Mañana,Invierno
64,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,Mañana,Invierno
65,1,5,Lower Manhattan,79,3.75,Bakery,Scone,Jumbo Savory Scone,Mañana,Invierno
66,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Mañana,Invierno
67,1,5,Lower Manhattan,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Mañana,Invierno
68,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,Espresso shot,Mañana,Invierno
69,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Mañana,Invierno
70,2,5,Lower Manhattan,37,3.0,Coffee,Barista Espresso,Espresso shot,Mañana,Invierno
71,1,5,Lower Manhattan,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,Mañana,Invierno
72,1,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,Mañana,Invierno
73,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,Mañana,Invierno
74,2,8,Hell's Kitchen,40,3.75,Coffee,Barista Espresso,Cappuccino,Mañana,Invierno
75,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,Mañana,Invierno
76,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Mañana,Invierno
77,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Mañana,Invierno
78,2,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,Mañana,Invierno
79,1,8,Hell's Kitchen,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Mañana,Invierno
80,2,8,Hell's Kitchen,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,Mañana,Invierno
81,2,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Mañana,Invierno
82,1,5,Lower Manhattan,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,Mañana,Invierno
83,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,Mañana,Invierno
84,2,5,Lower Manhattan,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,Mañana,Invierno
85,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Mañana,Invierno
86,2,8,Hell's Kitchen,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Mañana,Invierno
87,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Mañana,Invierno
88,2,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Mañana,Invierno
89,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Mañana,Invierno
90,2,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Mañana,Invierno
91,2,5,Lower Manhattan,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Mañana,Invierno
92,1,5,Lower Manhattan,74,3.5,Bakery,Biscotti,Ginger Biscotti,Mañana,Invierno
93,2,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,Mañana,Invierno
94,1,5,Lower Manhattan,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Mañana,Invierno
95,1,5,Lower Manhattan,70,3.25,Bakery,Scone,Cranberry Scone,Mañana,Invierno
96,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Mañana,Invierno
97,1,5,Lower Manhattan,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Mañana,Invierno
98,2,5,Lower Manhattan,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Mañana,Invierno
99,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,Mañana,Invierno
100,2,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Mañana,Invierno
101,1,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,Mañana,Invierno
102,2,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Mañana,Invierno
103,1,8,Hell's Kitchen,73,3.75,Bakery,Pastry,Almond Croissant,Mañana,Invierno
104,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Mañana,Invierno
105,1,5,Lower Manhattan,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Mañana,Invierno
106,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Mañana,Invierno
107,1,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,Mañana,Invierno
108,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,Mañana,Invierno
109,2,5,Lower Manhattan,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,Mañana,Invierno
110,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,Mañana,Invierno
111,2,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg,Mañana,Invierno
112,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Mañana,Invierno
113,2,8,Hell's Kitchen,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,Mañana,Invierno
114,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Mañana,Invierno
115,1,3,Astoria,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,Mañana,Invierno
116,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,Mañana,Invierno
117,1,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,Mañana,Invierno
118,1,3,Astoria,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,Mañana,Invierno
119,2,3,Astoria,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,Mañana,Invierno
120,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Mañana,Invierno
121,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,Mañana,Invierno
122,1,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Mañana,Invierno
123,1,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,Mañana,Invierno
124,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Mañana,Invierno
125,1,5,Lower Manhattan,77,3.0,Bakery,Scone,Oatmeal Scone,Mañana,Invierno
126,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,Mañana,Invierno
127,2,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino,Mañana,Invierno
128,2,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,Mañana,Invierno
129,2,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Mañana,Invierno
130,2,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Mañana,Invierno
131,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Mañana,Invierno
132,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,Mañana,Invierno
133,1,8,Hell's Kitchen,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Mañana,Invierno
134,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Mañana,Invierno
135,2,5,Lower Manhattan,51,3.0,Tea,Brewed Black tea,Earl Grey Lg,Mañana,Invierno
136,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,Mañana,Invierno
137,2,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Mañana,Invierno
138,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,Mañana,Invierno
139,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Mañana,Invierno
140,1,5,Lower Manhattan,71,3.75,Bakery,Pastry,Chocolate Croissant,Mañana,Invierno
141,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Mañana,Invierno
142,2,3,Astoria,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Mañana,Invierno
143,1,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Mañana,Invierno
144,1,3,Astoria,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Mañana,Invierno
145,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,Mañana,Invierno
146,1,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Mañana,Invierno
147,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,Mañana,Invierno
148,2,3,Astoria,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,Mañana,Invierno
149,2,3,Astoria,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Mañana,Invierno
150,2,5,Lower Manhattan,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,Mañana,Invierno
151,2,8,Hell's Kitchen,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Mañana,Invierno
152,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Mañana,Invierno
153,2,3,Astoria,37,3.0,Coffee,Barista Espresso,Espresso shot,Mañana,Invierno
154,1,3,Astoria,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,Mañana,Invierno
155,1,3,Astoria,79,3.75,Bakery,Scone,Jumbo Savory Scone,Mañana,Invierno
156,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Mañana,Invierno
157,1,5,Lower Manhattan,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Tarde,Invierno
158,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,Tarde,Invierno
159,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Tarde,Invierno
160,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,Tarde,Invierno
161,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Tarde,Invierno
162,1,8,Hell's Kitchen,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,Tarde,Invierno
163,1,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,Tarde,Invierno
164,2,8,Hell's Kitchen,27,3.5,Coffee,Organic brewed coffee,Brazilian Lg,Tarde,Invierno
165,2,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Tarde,Invierno
166,1,5,Lower Manhattan,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,Tarde,Invierno
167,1,8,Hell's Kitchen,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Tarde,Invierno
168,1,5,Lower Manhattan,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,Tarde,Invierno
169,1,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Tarde,Invierno
170,2,3,Astoria,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Tarde,Invierno
171,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,Tarde,Invierno
172,2,5,Lower Manhattan,38,3.75,Coffee,Barista Espresso,Latte,Tarde,Invierno
173,2,8,Hell's Kitchen,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Tarde,Invierno
174,2,8,Hell's Kitchen,50,2.5,Tea,Brewed Black tea,Earl Grey Rg,Tarde,Invierno
175,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Tarde,Invierno
176,2,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,Tarde,Invierno
177,2,3,Astoria,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Tarde,Invierno
178,1,3,Astoria,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Tarde,Invierno
179,2,5,Lower Manhattan,41,4.25,Coffee,Barista Espresso,Cappuccino Lg,Tarde,Invierno
180,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,Tarde,Invierno
181,1,8,Hell's Kitchen,38,3.75,Coffee,Barista Espresso,Latte,Tarde,Invierno
182,2,3,Astoria,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Tarde,Invierno
183,2,3,Astoria,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Tarde,Invierno
184,2,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,Tarde,Invierno
185,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Tarde,Invierno
186,2,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,Tarde,Invierno
187,1,3,Astoria,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Tarde,Invierno
188,1,8,Hell's Kitchen,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Tarde,Invierno
189,1,3,Astoria,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Tarde,Invierno
190,1,3,Astoria,52,2.5,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Tarde,Invierno
191,2,3,Astoria,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Tarde,Invierno
192,1,3,Astoria,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Tarde,Invierno
193,1,3,Astoria,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Tarde,Invierno
194,1,3,Astoria,33,3.5,Coffee,Gourmet brewed coffee,Ethiopia Lg,Tarde,Invierno
195,1,3,Astoria,75,3.5,Bakery,Pastry,Croissant,Tarde,Invierno
196,2,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,Tarde,Invierno
197,1,8,Hell's Kitchen,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Tarde,Invierno
198,1,3,Astoria,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,Tarde,Invierno
199,2,3,Astoria,32,3.0,Coffee,Gourmet brewed coffee,Ethiopia Rg,Tarde,Invierno
200,1,8,Hell's Kitchen,53,3.0,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Tarde,Invierno
201,1,5,Lower Manhattan,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Tarde,Invierno
202,1,5,Lower Manhattan,72,3.25,Bakery,Scone,Ginger Scone,Tarde,Invierno
203,1,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Tarde,Invierno
204,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,Tarde,Invierno
205,2,8,Hell's Kitchen,29,2.5,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg,Tarde,Invierno
206,1,8,Hell's Kitchen,37,3.0,Coffee,Barista Espresso,Espresso shot,Tarde,Invierno
207,1,3,Astoria,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,Tarde,Invierno
208,1,5,Lower Manhattan,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,Tarde,Invierno
209,1,5,Lower Manhattan,75,3.5,Bakery,Pastry,Croissant,Tarde,Invierno
210,1,8,Hell's Kitchen,45,3.0,Tea,Brewed herbal tea,Peppermint Lg,Tarde,Invierno
211,2,8,Hell's Kitchen,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,Tarde,Invierno
212,1,3,Astoria,61,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Tarde,Invierno
213,1,3,Astoria,47,3.0,Tea,Brewed Green tea,Serenity Green Tea Lg,Tarde,Invierno
214,2,3,Astoria,44,2.5,Tea,Brewed herbal tea,Peppermint Rg,Tarde,Invierno
215,1,8,Hell's Kitchen,36,3.75,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,Tarde,Invierno
216,2,5,Lower Manhattan,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Tarde,Invierno
217,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Tarde,Invierno
218,1,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,Tarde,Invierno
219,1,8,Hell's Kitchen,78,4.5,Bakery,Scone,Scottish Cream Scone ,Tarde,Invierno
220,1,8,Hell's Kitchen,26,3.0,Coffee,Organic brewed coffee,Brazilian Rg,Tarde,Invierno
221,2,3,Astoria,43,3.0,Tea,Brewed herbal tea,Lemon Grass Lg,Tarde,Invierno
222,2,8,Hell's Kitchen,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Tarde,Invierno
223,1,8,Hell's Kitchen,72,3.25,Bakery,Scone,Ginger Scone,Tarde,Invierno
224,2,8,Hell's Kitchen,42,2.5,Tea,Brewed herbal tea,Lemon Grass Rg,Tarde,Invierno
225,2,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Tarde,Invierno
226,1,3,Astoria,22,2.0,Coffee,Drip coffee,Our Old Time Diner Blend Sm,Tarde,Invierno
227,1,3,Astoria,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Tarde,Invierno
228,2,5,Lower Manhattan,24,3.0,Coffee,Drip coffee,Our Old Time Diner Blend Lg,Tarde,Invierno
229,1,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Tarde,Invierno
230,2,5,Lower Manhattan,30,3.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg,Tarde,Invierno
231,1,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Tarde,Invierno
232,1,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,Tarde,Invierno
233,2,3,Astoria,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Tarde,Invierno
234,2,8,Hell's Kitchen,49,3.0,Tea,Brewed Black tea,English Breakfast Lg,Tarde,Invierno
235,1,8,Hell's Kitchen,55,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Tarde,Invierno
236,1,8,Hell's Kitchen,75,3.5,Bakery,Pastry,Croissant,Tarde,Invierno
237,1,3,Astoria,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Tarde,Invierno
238,2,8,Hell's Kitchen,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,Tarde,Invierno
239,2,3,Astoria,35,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,Tarde,Invierno
240,2,3,Astoria,38,3.75,Coffee,Barista Espresso,Latte,Tarde,Invierno
241,1,5,Lower Manhattan,23,2.5,Coffee,Drip coffee,Our Old Time Diner Blend Rg,Tarde,Invierno
242,2,3,Astoria,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg,Tarde,Invierno
243,2,3,Astoria,58,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,Tarde,Invierno
244,2,5,Lower Manhattan,60,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Tarde,Invierno
245,2,5,Lower Manhattan,31,2.2,Coffee,Gourmet brewed coffee,Ethiopia Sm,Tarde,Invierno
246,2,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm,Tarde,Invierno
247,1,5,Lower Manhattan,87,3.0,Coffee,Barista Espresso,Ouro Brasileiro shot,Tarde,Invierno
248,2,3,Astoria,28,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,Tarde,Invierno
